科目\时间,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
净利润(元),13954462085.61,46697285429.81,33827103961.22,22601655085.51,13093770211.16,41206471014.43,30454855385.44,19951025609.22,11221431345.08,35203625263.22,24733552720.33,15764185782.66,8506906678.2,27079360255.74,19983846984.1,11250860929.71,6123119324.13,16718362734.16,12465577764.14,8802637138.02,4889271595.32,15503090276.38,11424637743.71,7888232276.17,4364901720.89,15349804322.27,10693329220.86,7229853849.52,3699386271.72,15136639784.35,11070194524.15,7247944730.16,3593098133.67,13308079612.88,10420059216.87,6995721596.41,2969215795.73,8763145910.23,6569084644.22,4907177141.53,1883994974.93,5051194218.26,4174173993.26,3099757305.23,1265662575.41,4312446124.73,3786951421.67,2790276484.1,1217009471.66,3799480558.51
扣非净利润(元),13969463370.71,47016420742.73,33902100761.01,22672726309.64,13155216731,41406909012.08,30534220918.96,20031439180.39,11301721758.13,35585443648.6,24929011158.67,15884168512.98,8510778903.45,27224083628.17,20087008841.63,11279876578.52,6148184676.75,16954689021.77,12545273396.48,8798948190.99,4886287212.46,15616866431.94,11520504950.25,7889895890.08,4366636015.79,15520833325.69,10791417351.21,7249964632.09,3705104468.53,15451527453,11316351629.2,7442733784.56,3772853922.13,13401371441.07,10493128641.3,6995444556.93,2967835798.91,8764693473.02,6571525886.8,4908996693.16,1882675946.41,5050226243.98,4174639742.56,3101369957.67,1267754831.01,4308114570.85,3787331086.97,2789528657.62,1216891506.66,3802638842.13
营业总收入(元),28064735731.77,97993240501.21,69574876860.53,45634371275.58,25298492025.94,88854337488.76,63508663046.7,41172681309.94,22480525254.69,77199384110.22,54969266451.42,35251464783.33,18395256845.96,61062756866.16,44487374571.44,25493896745.03,13913411369.3,40155084412.93,27532735151.02,18737617091.82,10250867583.69,33446859045.58,23734319250.48,16185651569.47,8760367928.22,32217213741.08,22173257722.32,14615639258.11,7581739634.14,31070596222.23,22002381371.16,14137431736.59,7165785851.61,26455335152.99,19931438600.48,13264437836.41,6015967741.62,18402355207.3,13642075480.07,9825823427.08,4220589097.94,11633283740.18,9327577784.12,6587266362.78,3039906100.41,9669999065.39,7807202385.78,5546006031.29,2512537167.2,8241685564.11
经营活动产生的现金流量净额(元),-1484892858.66,51669068693.03,25111002819.99,12620963440.03,2303109387.5,45210612632.56,27315401962.03,24086920146.43,1189210084.58,41385234406.72,28221285915.54,17735030962.19,4935500707.47,22153036084.13,22786767198.19,6935360410.36,6108975096.56,37451249647.05,32535332631.69,13603962283.99,7436044334.98,17436340141.72,11423393327.06,4901688343.28,2111633649.4,12632522436.6,7679397243.87,4288743348.5,173915705.72,12655024861.92,9245117959.31,5215024506.91,790228914.27,11921310609.25,7561565324.9,4459709495.33,1339500999.6,10148564689.53,9026937978.3,5327897835.08,3411131919.85,6201476519.57,3964406933.93,1766383110.55,824771903.73,4223937144.19,2077542093.22,548187840.43,-130764695.25,5247488535.74
购建固定资产、无形资产和其他长期资产支付的现金(元),1410877808.72,2089769498.78,1615152863.56,964266908.58,414462399.75,3148864661.38,2028039371.11,1124791960.56,609482374.33,1606750226.28,1016477926.63,716639810.98,574638851.37,1125017192.45,756994453.84,480999293.66,307369260.11,1019178136.92,775269285.34,496606045.55,367086565.33,2061470481.32,1810810170.61,1275907396.62,865730347.38,4431065066.05,3698405813.68,2846115154.85,2024967912.28,5405740026.23,3944662952.02,2527195939.43,1124939088.24,4211900807.91,3041808991.95,1701317277.73,678815042.41,2184528163.11,1234305197.84,747055064.27,300691471.88,1731913788.52,1394221713.73,1079662311.3,469039504.08,1356601530.09,1058500946.42,689017762.13,288879016.69,1010735786.04
处置固定资产、无形资产和其他长期资产收回的现金净额(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额(元),-1423592204.62,-1805227155.72,-1313883405.3,-973044191.77,-420225315.75,-3165685743.25,-2040270177.9,-1136383617.75,-618303783.52,-1628962704.56,-1023123815.11,-739781676.98,-591910958.52,-1120645214.6,-747775213.35,-470688613.17,-300339692.11,-1102500804.2,-773487389.12,-555507847.55,-421345315.83,-2048790264.59,-1782994523.04,-1290715410,-854045288.53,-4580159580.19,-3874919848.33,-2998755133.48,-2084818709.48,-5339311399.95,-3837520141.08,-2381583472.52,-1018613207.52,-4199476298.27,-3015363879.24,-1677369424.27,-689821241.5,-2120418049.91,-1197571114.86,-704408369.44,-301061771.53,-1763389554.72,-1426448784.71,-1101273291.02,-450308104.08,-1339521132.83,-1041420549.16,-671937364.87,-298879016.69,-992562686.04
筹资活动产生的现金流量净额(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：营业成本(元),2269951051.23,8154001476.28,5830896325.15,3752326517.73,2032443452.95,7430013945.12,5185881319.33,3211620131.28,1707440713.18,6522921833.77,4637055449.21,3025025121.38,1518592897.51,5940436371.97,4273438303.5,2511228414.91,1176997676.07,3410104085.97,2225398682.82,1475407709.24,765002011.77,2538337449.06,1747047687.23,1165878006.33,579796944.52,2338550532.33,1593307325.68,987543281.35,506935182.4,2193920307.99,1440864963.81,932566677.02,481121235.64,2044306468.76,1628876041.88,1059645343.97,482055429.18,1551233976.06,1155847115.68,845072449.15,392063100.98,1052931591.61,821295137.53,569190230.53,295386812.48,950672855.27,743207551.34,531620176.32,251448334.92,799713319.24
销售费用(元),567069564.77,2547745650.95,1775856610.73,1163333510.55,661305550.73,3278990982.26,2613988343.92,1986959217.73,871503082.76,2572076872.16,2845576568.3,2199587993.36,945090499.2,2986068544.99,1977910933.9,1378870495.32,852434090.09,1681052022.9,655110282.33,387421652.45,170385412.55,1484961519.21,935401479.03,592014002.75,242599825.82,1674733451.06,976711335.94,646806094.27,329145907.6,1858132722.71,1165549963.08,799796571.35,284030284.33,1224553444.02,842051124.48,406579445.96,190131949.47,720327727.89,493777287.82,324597983.18,167210185.33,676531662.09,482572956.68,314756689.21,144719684.59,621284334.75,439653539.35,315584024.7,180649086.71,532024659.8
管理费用(元),1780457948.16,6789844289.39,4549515642.78,2972613711.83,1559853186,6167982844.22,4139407936.02,2715858665.11,1456803021.01,5325940762.24,3684290694.19,2453146603.41,1201491575.54,4701795567.31,3103772692.91,2032246237.88,1122230514.33,4187189840.42,2786104248.79,1859591870.32,905013030.88,3812852076.19,2592580782.23,1827131652.26,919920409,3378499544.59,2336957697.64,1492808431.34,730947216.88,2834740716,1743433452.38,1151877819.89,558440922.02,2204190581.13,1288134049.01,831662727.75,459827167.05,1673872427.75,1001317983.56,642955797.35,354029240.72,1346014202.04,851216571.01,560864374.55,309690750.83,1217158463.04,733148103.43,463903828.95,222527985.93,941174062.44
研发费用(元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
